context,answer
Yeah. ,"So, we’re not gonna make motorcycles. But a few more Tesla products that are cool: We’re almost done with the development of the solar tile roof. So we have those on a few hundred roofs right now. And we’re just doing testing to make sure they have long-term durability."
"These are tile roofs, these are tiles on the roofs? Yeah.","Yeah, the solar tile roof where it looks like a normal, beautiful tile roof. But it’s actually solar. And, like, that development process is longer than we’d like, because we’ve got to make sure that the roof’s gonna stand up for 30 years."
Sure.,"And even when you do accelerated lab testing on a solar roof, it still takes a while. And we’ve gotta put a lot of work into making the installation process easy, so it doesn’t take ages to install a roof."
Or rely on government subsidies.,"Yeah. Long-term, there won’t be any government subsidies. Those are just kind of like short-term things."
I agree. You’d be surprised to know I do have a solar roof. And have had one for 10 years.,Oh cool. Great. Thank you. Good.
"I think I have a real old one. I think it’s super old, and it seems to be working just fine.","Yeah. I mean you probably have the retrofit solar, like that’s on top of a normal roof. "
Yes.,So we have that. We’ve like kind of a regular —
This is tiles. This is the tile —,This is integrated with the roof.
Right.,"So the solar tile roof, where it’s integrated with the roof. You don’t even realize it’s solar. And of course we have the conventional retrofit solar, so we are working on, you know, steadily improving the aesthetics of the retrofit solar. "
"So the solar tile roof, where it’s integrated with the roof. You don’t even realize it’s solar. And of course we have the conventional retrofit solar, so we are working on, you know, steadily improving the aesthetics of the retrofit solar. ","Then we’ve got the Powerwall battery storage system. We’ve got the Powerpack, which is used for utilities on industrial scale. We’re gonna have some other exciting announcements on the stationary storage front. So when you —"
This is within the homes?,"I can’t talk more about it, but there’s —"
Presumably.,We have a large product on the stationary storage side that I think will be very compelling for utility customers. 
"Okay, all right. So, a Roadster. Any planes?",No plans to make planes at Tesla.
No plans to make planes at Tesla.,SpaceX and dying on Mars
"All right. Well let’s get to rockets then. SpaceX. Last time we talked, you said you wanted to die on Mars, just not on landing. Which was a very funny joke, although it’s probably not a joke, it’s probably —","Well, it’d be ironic if that had happened."
"Well, you know.","Better not ... I think we just be careful ... I have to be careful about tempting fate, because I think often the most ironic outcome is the most probable."
"Yeah, that’s kind of the way it should go, right?",Yeah.
Yeah. “This is how Elon Musk must die!”,"Reality, yes."
“He must die in landing on Mars.”,It might happen.
Right.,"You know, like the ... It just very often seems like reality tries to ... Actually, technically, there’s a friend of mine, Jonah Nolan, who had this like modification of Occam’s razor where he said he thinks “the most ironic outcome is the most likely.” And then I think that there’s some truth to that. And then also I think sometimes the most entertaining outcome is the most likely. Whether that entertainment is in the nature of drama, comedy or something else —"
